,Filename,Current Docket,Docket Numbers,Public Employer,Union,County,Arbitrator,Date Received,Award Type,Current Status,Appellate Court,Supreme Court
88,IA-2013-012.pdf,IA-2013-012,IA-2013-012,Township of Byram,PBA Loc 138,Sussex,"Osborn, S",03/11/2013,Conventional,Appealed,,
89,ia-2011-007.pdf,IA-2011-007,IA-2011-007,Union Cty Prosecutor's Office,PBA Loc 250 (Detctives and Investigators),Union,"Hundley, T",12/24/2012,Conventional,Award Issued,,
90,ia-2010-060.pdf,IA-2010-060,IA-2010-060,Mt Laurel Board of Fire Commissioners Dist No 1,IAFF Loc 4408 and IAFF Loc 4408-O,Burlington,"Mastriani, J",12/24/2012,Conventional,Award Issued,,
91,Remand IA-2013-007.pdf,IA-2013-007,IA-2013-007,City of Camden,Camden Org of Police Superiors,Camden,"Mason, F",12/19/2012,Conventional,Appealed,,
92,ia-2013-007.pdf,IA-2013-007,IA-2013-007,City of Camden,Camden Org of Police Superiors,Camden,"Mason, F",12/19/2012,Conventional,Appealed,,
93,IA-2013-005.pdf,IA-2013-005,IA-2013-005,Burlington Cty,PBA Loc 249,Burlington,"Osborn, S",11/26/2012,Conventional,Award Issued,,
94,IA-2009-069.pdf,IA-2009-069,IA-2009-069,Camden,IAFF Local 2578 (Supervisors),Camden,"Weisblatt, J",10/24/2012,Conventional,Award Issued,,
95,IA-2013-002.pdf,IA-2013-002,IA-2013-002,Ocean Cty Sheriff's Office,PBA Loc 379A (Superiors),Ocean,"Gifford, R",10/24/2012,Conventional,Award Issued,,
96,IA-2010-104.pdf,IA-2010-104,IA-2010-104,Fanwood Boro,PBA Loc 123,Union,"Mastriani, J",10/17/2012,Conventional,Award Issued,,
97,IA-2013-001.pdf,IA-2013-001,IA-2013-001,Surf City Boro,PBA Loc 175,Ocean,"Mason, F",09/18/2012,Conventional,Award Issued,,
98,IA-2008-099.pdf,IA-2008-099,IA-2008-099,UMDNJ,FOP Lodge 74;FOP Lodge 155 (Superiors),,"Mastriani, J",08/21/2012,Conventional,Award Issued,,
99,ia-2010-099.pdf,IA-2010-099,IA-2010-099,N Hudson Reg Fire & Rescue,N Hudson Firefighters Assn,Hudson,"Hundley, T",08/20/2012,Conventional,Appealed,,
100,IA-2010-099.pdf,IA-2010-099,IA-2010-099,N Hudson Reg Fire & Rescue,N Hudson Firefighters Assn,Hudson,"Hundley, T",08/20/2012,Conventional,Appealed,,
101,IA-2012-046.pdf,IA-2012-046,IA-2012-046,Hudson Cty,PBA Loc 109,Hudson,"Osborn, S",07/23/2012,Conventional,Appealed,,
102,IA-2009-053.pdf,IA-2009-053,IA-2009-053,Washington Tp,PBA Loc 301,Morris,"Mastriani, J",07/23/2012,Conventional,Award Issued,,
103,IA-2012-045.pdf,IA-2012-045,IA-2012-045,Atlantic City,IAFF Loc198,Ocean,"Pecklers, M",07/16/2012,Conventional,Appealed,,
104,IA-2010-110.pdf,IA-2010-109,IA-2010-109 & IA-2010-110,Madison Boro,PBA Loc 92 SOA,Morris,"Glasson, R",07/09/2012,Conventional,Appealed,,
105,IA-2010-109.pdf,IA-2010-109,IA-2010-109 & IA-2010-110,Madison Boro,PBA Loc 92,Morris,"Glasson, R",07/09/2012,Conventional,Appealed,,
106,IA-2012-043.pdf,IA-2012-043,IA-2012-043,Hudson Cty (Corrections),PBA Loc 109A,Hudson,"Osborn, S",07/02/2012,Conventional,Award Issued,,
107,IA-2012-035 Supplemental 2012.08.31.pdf,IA-2012-035,IA-2012-035,Morris County Sheriff's Office,PBA Loc 298,Morris,"Mason, F",06/18/2012,Conventional,Appealed,,
108,IA-2012-035.pdf,IA-2012-035,IA-2012-035,Morris County Sheriff's Office,PBA Loc 298,Morris,"Mason, F",06/18/2012,Conventional,Appealed,,
109,IA-2012-037.pdf,IA-2012-037,IA-2012-037,Union County Sheriff's Office,PBA Loc 108,Union,"Osborn, S",06/12/2012,Conventional,Appealed,,
110,IA-2011-014.pdf,IA-2011-014,IA-2011-014,Ocean Cty Sheriff's Office,PBA Loc 379,Ocean,"Glasson, R",05/30/2012,Conventional,Award Issued,,
111,IA-2012-032.pdf,IA-2012-032,IA-2012-032,Morris Cty Prosecutor's Office,PBA Loc 327,Morris,"Osborn, S",05/25/2012,Conventional,Appealed,,
112,IA-2012-028 Supplemental 2012.08.13.pdf,IA-2012-028,IA-2012-028 & IA-2012-029,Cumberland Cty Prosecutor,PBA Loc  396 SOA,Cumberland,"Mastriani, J",05/17/2012,Conventional,Appealed,,
113,PERC 2012-66.pdf,IA-2012-028,IA-2012-028 & IA-2012-029,Cumberland Cty Prosecutor,PBA Loc  396 SOA,Cumberland,"Mastriani, J",05/17/2012,Conventional,Appealed,,
114,IA-2012-029.pdf,IA-2012-028,IA-2012-028 & IA-2012-029,Cumberland Cty Prosecutor,PBA Loc  396 SOA,Cumberland,"Mastriani, J",05/17/2012,Conventional,Appealed,,
115,IA-2012-028 Supplemental 2012.08.13.pdf,IA-2012-028,IA-2012-028 & IA-2012-029,Cumberland Cty Prosecutor,PBA Loc  396,Cumberland,"Mastriani, J",05/17/2012,Conventional,Appealed,,
116,PERC 2012-66.pdf,IA-2012-028,IA-2012-028 & IA-2012-029,Cumberland Cty Prosecutor,PBA Loc  396,Cumberland,"Mastriani, J",05/17/2012,Conventional,Appealed,,
117,IA-2012-028.pdf,IA-2012-028,IA-2012-028 & IA-2012-029,Cumberland Cty Prosecutor,PBA Loc  396,Cumberland,"Mastriani, J",05/17/2012,Conventional,Appealed,,
118,IA-2010-012.pdf,IA-2009-096,IA-2009-096 & IA-2009-097 & IA-2010-012,Middlesex Cty (Corrections),PBA Local 152,Middlesex,"Mastriani, J",05/14/2012,Conventional,Award Issued,,
119,IA-2009-097.pdf,IA-2009-096,IA-2009-096 & IA-2009-097 & IA-2010-012,Middlesex Cty Prosecutor's Office,PBA Local 214,Middlesex,"Mastriani, J",05/14/2012,Conventional,Award Issued,,
120,IA-2009-096.pdf,IA-2009-096,IA-2009-096 & IA-2009-097 & IA-2010-012,Middlesex Cty,PBA Local 152A (Superiors),Middlesex,"Mastriani, J",05/14/2012,Conventional,Award Issued,,
121,IA-2012-026.pdf,IA-2012-026,IA-2012-026 & IA-2012-024,Roselle Park Boro,PBA Loc 27 SOA,Union,"Osborn, S",05/03/2012,Conventional,Award Issued,,
